cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.35,0.44,11.41,59%,0,7518,8684,0,0,24,0,0,0
2,2,6.87,0.43,16.09,45%,0,7614,8907,0,0,24,0,0,0
4,4,6.14,0.41,16.04,40%,0,7625,9327,0,0,24,0,0,0
8,8,6.55,0.42,12.61,55%,0,8227,9880,0,0,32,0,0,0
16,16,6.95,0.46,16.01,46%,0,8219,10083,0,0,40,0,0,0
32,32,7.93,0.54,15.98,52%,0,7888,9943,0,0,56,0,0,0
64,64,9.20,0.74,21.27,46%,0,9009,12639,0,0,104,0,0,0
128,128,11.03,1.00,21.24,56%,0,9644,14964,0,0,184,0,0,0
256,256,14.03,1.48,26.18,59%,0,11795,20592,0,0,352,0,0,0
512,512,17.47,2.48,26.82,74%,0,15457,31376,0,0,672,0,0,0
