cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.69,0.43,16.24,43%,0,7917,9039,0,0,32,0,0,0
2,2,6.80,0.40,16.38,43%,0,7899,9441,0,0,32,0,0,0
4,4,7.00,0.44,18.28,40%,0,7881,9629,0,0,40,0,0,0
8,8,6.88,0.44,16.16,45%,0,7775,9569,0,0,48,0,0,0
16,16,7.80,0.52,16.18,51%,0,8350,10572,0,0,64,0,0,0
32,32,8.90,0.63,21.17,45%,0,8981,12155,0,0,112,0,0,0
64,64,10.96,0.95,21.36,55%,0,10284,15218,0,0,184,0,0,0
128,128,14.40,1.47,26.17,60%,0,11992,20766,0,0,336,0,0,0
256,256,18.17,2.42,26.81,76%,0,15302,32120,0,0,632,0,0,0
512,512,25.12,4.25,41.90,70%,0,21967,54714,0,0,1248,0,0,0
