cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,42.11,2.63,82.77,54%,0,26597,38488,0,0,0,0,0,0
2,2,43.53,2.64,89.18,51%,0,27683,40680,0,0,0,0,0,0
4,4,42.66,2.72,112.07,40%,0,26722,46830,0,0,0,0,0,0
8,8,44.61,2.86,156.92,30%,0,28439,59817,0,0,0,0,0,0
16,16,46.98,3.09,207.54,24%,0,28460,71791,0,0,0,0,0,0
32,32,52.39,3.40,269.27,20%,0,29329,93247,0,0,0,0,0,0
64,64,53.21,3.69,292.97,19%,0,30721,104341,0,0,0,0,0,0
128,128,55.59,4.25,326.87,18%,0,33345,126514,0,0,0,0,0,0
256,256,61.02,5.10,311.54,21%,0,38563,145997,0,0,0,0,0,0
512,512,68.50,6.94,318.06,23%,0,49527,186957,0,0,0,0,0,0
