cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,exitStatus
1,1,16.75,1.88,47.88,38%,0,16552,24493,0
2,2,16.50,1.82,49.35,37%,0,16175,25440,0
4,4,16.85,1.79,39.19,47%,0,16233,23756,0
8,8,17.91,1.93,46.74,42%,0,16295,26087,0
16,16,17.87,1.64,43.02,45%,0,16627,26524,0
24,24,18.27,1.82,47.84,42%,0,17683,29904,0
48,48,19.99,2.11,44.56,49%,0,18812,34664,0
96,96,22.31,2.27,55.51,44%,0,20334,43014,0
192,192,24.44,2.47,47.86,56%,0,24680,56350,0
384,384,29.38,3.68,64.20,51%,0,32295,89303,0
