cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.29,2.74,110.17,20%,0,14621,39566,0,0,0,0,0,0
2,2,20.94,2.86,185.07,12%,0,14662,55598,0,0,0,0,0,0
4,4,22.60,3.02,175.11,14%,0,16811,59039,0,0,0,0,0,0
8,8,24.07,3.29,241.69,11%,0,16167,71281,0,0,0,0,0,0
16,16,24.38,3.46,180.69,15%,0,16413,63332,0,0,0,0,0,0
32,32,27.91,4.13,186.33,17%,0,17638,71123,0,0,0,0,0,0
64,64,30.34,4.86,175.26,20%,0,18660,83902,0,0,0,0,0,0
128,128,41.28,6.98,175.70,27%,0,24382,110490,0,0,0,0,0,0
256,256,49.36,9.58,215.91,27%,0,33361,153100,0,0,0,0,0,0
512,512,62.29,15.89,196.04,39%,0,48020,212906,0,0,0,0,0,0
