cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,38.79,2.31,78.87,52%,0,26981,39140,0,0,0,0,0,0
2,2,40.41,2.40,80.54,53%,0,27203,40112,0,0,0,0,0,0
4,4,40.35,2.31,84.77,50%,0,26839,41458,0,0,0,0,0,0
8,8,40.79,2.49,79.99,54%,0,27589,42950,0,0,0,0,0,0
16,16,42.05,2.52,84.68,52%,0,27562,45883,0,0,0,0,0,0
32,32,50.24,3.56,289.98,18%,0,31517,105321,0,0,0,0,0,0
64,64,65.30,5.57,759.92,9%,0,38486,234753,0,0,0,0,0,0
128,128,71.70,6.65,920.68,8%,0,46319,304043,0,0,0,0,0,0
256,256,79.99,9.19,1024.12,8%,0,59875,397200,0,0,0,0,0,0
512,512,94.23,12.24,1057.89,10%,0,79953,493718,0,0,0,0,0,0
