cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.88,1.96,42.72,51%,0,14798,23091,0,0,0,0,0,0
2,2,19.61,1.87,39.83,53%,0,15215,23082,0,0,0,0,0,0
4,4,19.71,1.92,44.73,48%,0,15764,25065,0,0,0,0,0,0
8,8,20.00,1.95,39.90,55%,0,15985,25365,0,0,0,0,0,0
16,16,20.29,2.03,40.02,55%,0,16315,26714,0,0,0,0,0,0
32,32,21.13,2.12,44.94,51%,0,16445,30566,0,0,0,0,0,0
64,64,25.66,2.62,104.67,27%,0,18189,52578,0,0,0,0,0,0
128,128,35.27,4.08,384.96,10%,0,23027,136757,0,0,0,0,0,0
256,256,41.53,5.21,504.61,9%,0,28970,195014,0,0,0,0,0,0
512,512,47.40,6.54,550.06,9%,0,39343,250231,0,0,0,0,0,0
