cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.42,1.95,47.12,47%,0,15084,23543,0,0,0,0,0,0
2,2,20.05,1.98,50.22,43%,0,16030,26439,0,0,0,0,0,0
4,4,20.51,2.09,59.64,37%,0,16042,29941,0,0,0,0,0,0
8,8,21.45,2.09,54.99,42%,0,16320,30393,0,0,0,0,0,0
16,16,22.97,2.32,60.34,41%,0,18194,34822,0,0,0,0,0,0
32,32,31.11,3.18,181.51,18%,0,18639,71965,0,0,0,0,0,0
64,64,45.87,5.14,565.95,9%,0,24554,185518,0,0,0,0,0,0
128,128,46.95,5.53,497.01,10%,0,27815,192056,0,0,0,0,0,0
256,256,52.86,7.12,531.93,11%,0,34913,241609,0,0,0,0,0,0
512,512,59.87,9.82,532.02,13%,0,48307,316285,0,0,0,0,0,0
