cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,12.92,2.10,44.65,33%,0,2279,10618,0,0,0,0,0,1
2,2,12.93,2.35,42.27,36%,0,2563,10419,0,0,0,0,0,0
4,4,12.05,2.40,41.61,34%,0,2260,10284,0,0,0,0,0,0
8,8,14.23,3.05,56.58,30%,0,2951,12561,0,0,0,0,0,0
16,16,11.72,2.66,53.46,26%,0,2587,12507,0,0,0,0,0,1
32,32,14.13,3.50,52.34,33%,0,2771,12741,0,0,0,0,0,1
64,64,16.62,5.04,59.35,36%,0,4080,14919,0,0,0,0,0,1
128,128,17.13,6.83,76.13,31%,0,5099,21407,0,0,0,0,0,1
256,256,27.85,13.36,122.88,33%,0,9320,36769,0,0,0,0,0,1
512,512,35.08,19.41,180.72,30%,0,14276,69004,0,0,0,0,0,0
