cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.89,3.59,67.00,35%,0,3760,13280,0,0,0,0,0,1
2,2,17.23,3.22,54.03,37%,0,2938,11914,0,0,0,0,0,0
4,4,20.44,3.83,56.84,42%,0,3508,12713,0,0,0,0,0,0
8,8,19.36,3.88,66.03,35%,0,4133,13991,0,0,0,0,0,1
16,16,20.03,4.05,69.10,34%,0,3584,15261,0,0,0,0,0,1
32,32,24.90,6.26,75.07,41%,0,5328,19378,0,0,0,0,0,0
64,64,24.37,7.93,92.36,34%,0,6320,26755,0,0,0,0,0,0
128,128,28.73,10.58,117.88,33%,0,8799,38881,0,0,0,0,0,1
256,256,42.62,21.99,190.70,33%,0,15407,62612,0,0,0,0,0,1
512,512,70.95,46.81,364.45,32%,0,30294,141869,0,0,0,0,0,0
