cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.78,1.96,47.57,47%,0,15922,25234,0,0,0,0,0,0
2,2,20.87,2.01,51.40,44%,0,16187,26596,0,0,0,0,0,0
4,4,21.66,2.07,47.84,49%,0,16364,27058,0,0,0,0,0,0
8,8,22.80,2.12,62.31,40%,0,16787,32317,0,0,0,0,0,0
16,16,25.42,2.52,96.05,29%,0,17469,43592,0,0,0,0,0,0
32,32,27.22,2.64,105.73,28%,0,17296,50856,0,0,0,0,0,0
64,64,39.88,4.41,441.40,10%,0,22256,153693,0,0,0,0,0,0
128,128,45.10,5.30,503.89,10%,0,25039,188288,0,0,0,0,0,0
256,256,49.58,6.40,522.60,10%,0,32671,231157,0,0,0,0,0,0
512,512,55.62,8.96,406.94,15%,0,46441,296375,0,0,0,0,0,0
