cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.77,1.98,43.58,52%,0,15756,23935,0,0,0,0,0,0
2,2,20.19,2.01,50.33,44%,0,15489,25981,0,0,0,0,0,0
4,4,19.87,2.01,46.03,47%,0,16212,25827,0,0,0,0,0,0
8,8,20.81,1.98,41.16,55%,0,15954,24840,0,0,0,0,0,0
16,16,20.79,2.10,50.45,45%,0,15946,28570,0,0,0,0,0,0
32,32,28.49,2.83,206.16,15%,0,17996,71379,0,0,0,0,0,0
64,64,37.04,3.83,412.35,9%,0,20905,127874,0,0,0,0,0,0
128,128,36.76,4.08,441.71,9%,0,21933,148123,0,0,0,0,0,0
256,256,39.99,4.68,412.86,10%,0,28673,173921,0,0,0,0,0,0
512,512,46.87,6.15,487.34,10%,0,37700,234286,0,0,0,0,0,0
