cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,14.73,2.67,47.39,36%,0,3947,10953,0,0,0,0,0,0
2,2,15.91,2.79,53.19,35%,0,3022,11386,0,0,0,0,0,0
4,4,19.13,5.12,240.60,10%,0,4583,32960,0,0,0,0,0,0
8,8,23.54,4.71,112.01,25%,0,5580,21975,0,0,0,0,0,0
16,16,18.50,3.86,71.62,31%,0,4002,15931,0,0,0,0,0,1
32,32,18.32,4.44,65.16,34%,0,4235,15989,0,0,0,0,0,1
64,64,24.36,6.20,77.51,39%,0,6541,25308,0,0,0,0,0,0
128,128,39.13,11.17,190.06,26%,0,13382,41073,0,0,0,0,0,1
256,256,42.64,16.86,186.86,31%,0,15020,73051,0,0,0,0,0,0
512,512,61.11,36.77,358.65,27%,0,28005,123715,0,0,0,0,0,1
