cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,5.84,0.41,11.06,56%,0,7247,8678,0,0,24,0,0,0
2,2,6.41,0.44,13.38,51%,0,7604,9094,0,0,24,0,0,0
4,4,6.72,0.45,17.92,40%,0,7489,9162,0,0,24,0,0,0
8,8,6.88,0.47,18.08,40%,0,7783,9830,0,0,32,0,0,0
16,16,7.14,0.51,14.05,54%,0,8127,10143,0,0,40,0,0,0
32,32,7.32,0.57,17.84,44%,0,7875,10956,0,0,56,0,0,0
64,64,8.96,0.69,23.11,41%,0,9277,13022,0,0,104,0,0,0
128,128,10.65,0.95,22.99,50%,0,10123,16035,0,0,184,0,0,0
256,256,76.44,59.11,100174.54,0%,0,34839,3357696,0,0,352,0,0,0
512,512,14.55,2.08,26.35,63%,0,15386,32197,0,0,672,0,0,0
