cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,9.08,0.64,18.72,51%,0,8261,9753,0,0,32,0,0,0
2,2,9.49,0.70,18.59,54%,0,8221,9532,0,0,32,0,0,0
4,4,9.36,0.68,18.83,53%,0,8624,10346,0,0,40,0,0,0
8,8,10.82,0.71,23.70,48%,0,8604,10613,0,0,48,0,0,0
16,16,9.97,0.73,22.78,47%,0,8961,11149,0,0,64,0,0,0
32,32,11.35,0.85,22.95,53%,0,9085,11870,0,0,112,0,0,0
64,64,14.78,1.33,23.00,70%,0,10917,15778,0,0,176,0,0,0
128,128,19.44,1.97,28.82,74%,0,12976,21854,0,0,336,0,0,0
256,256,26.27,3.60,40.02,74%,0,17296,33920,0,0,640,0,0,0
512,512,33.43,5.99,48.88,80%,0,23928,56216,0,0,1256,0,0,0
