cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,11.53,0.88,16.51,75%,0,11037,13532,0,0,24,0,0,0
2,2,9.53,0.58,18.40,54%,0,8378,9693,0,0,24,0,0,0
4,4,9.28,0.67,18.78,53%,0,8442,9897,0,0,24,0,0,0
8,8,9.48,0.61,18.58,54%,0,8265,9851,0,0,32,0,0,0
16,16,8.84,0.60,13.13,71%,0,7792,9113,0,0,40,0,0,0
32,32,9.44,0.76,13.83,73%,0,8953,11049,0,0,56,0,0,0
64,64,10.32,0.76,13.44,82%,0,8757,11892,0,0,96,0,0,0
128,128,15.43,1.38,23.55,71%,0,11132,15916,0,0,184,0,0,0
256,256,19.65,2.00,153.95,14%,0,13684,25578,0,0,360,0,0,0
512,512,25.19,3.30,38.95,73%,0,17376,32911,0,0,672,0,0,0
