cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,44.33,3.46,92.49,51%,0,25939,63205,0,0,0,0,0,0
2,2,44.05,3.21,86.63,54%,0,25066,39629,0,0,0,0,0,0
4,4,44.35,3.36,95.68,49%,0,25874,41874,0,0,0,0,0,0
8,8,47.40,3.44,93.49,54%,0,26725,41913,0,0,0,0,0,0
16,16,46.39,3.57,103.04,48%,0,27175,54975,0,0,0,0,0,0
32,32,48.28,3.79,142.41,36%,0,27625,59135,0,0,0,0,0,0
64,64,51.54,4.02,211.24,26%,0,29461,87920,0,0,0,0,0,0
128,128,57.62,4.94,402.73,15%,0,34443,150385,0,0,0,0,0,0
256,256,60.70,5.51,388.87,17%,0,39618,173822,0,0,0,0,0,0
512,512,66.93,7.21,439.21,16%,0,51666,235002,0,0,0,0,0,0
