cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,15.10,2.53,46.60,37%,0,2729,11239,0,0,0,0,0,0
2,2,15.14,2.46,45.85,38%,0,2733,11102,0,0,0,0,0,0
4,4,15.73,2.97,54.55,34%,0,2996,13186,0,0,0,0,0,0
8,8,16.05,3.12,52.27,36%,0,3140,13600,0,0,0,0,0,0
16,16,19.38,3.58,65.40,35%,0,4263,16531,0,0,0,0,0,0
32,32,19.50,3.97,63.33,37%,0,4687,17662,0,0,0,0,0,1
64,64,22.33,6.21,83.16,34%,0,6218,27784,0,0,0,0,0,0
128,128,28.50,8.80,109.14,34%,0,10236,42111,0,0,0,0,0,1
256,256,36.61,14.78,160.48,32%,0,14602,65399,0,0,0,0,0,1
512,512,58.49,31.83,304.33,29%,0,28787,127676,0,0,0,0,0,1
