cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.66,2.07,45.47,47%,0,15813,25234,0,0,0,0,0,0
2,2,19.65,2.11,50.46,43%,0,19139,27710,0,0,0,0,0,0
4,4,19.78,2.06,50.07,43%,0,15626,27339,0,0,0,0,0,0
8,8,21.84,2.22,55.44,43%,0,16849,31401,0,0,0,0,0,0
16,16,22.62,2.30,50.55,49%,0,17308,32601,0,0,0,0,0,0
32,32,23.56,2.55,65.13,40%,0,17525,42277,0,0,0,0,0,0
64,64,29.67,3.32,100.30,32%,0,19623,64249,0,0,0,0,0,0
128,128,35.09,4.33,110.44,35%,0,22245,90164,0,0,0,0,0,0
256,256,40.09,5.89,140.66,32%,0,29546,137135,0,0,0,0,0,0
512,512,48.24,9.29,130.60,44%,0,43820,214690,0,0,0,0,0,0
