cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,exitStatus
1,1,18.80,0.71,14.03,139%,0,117,23351,0
2,2,16.48,0.67,12.46,137%,0,154,23810,0
4,4,15.20,0.77,12.41,128%,0,149,24833,0
8,8,16.25,0.74,12.49,136%,0,192,25733,0
16,16,19.24,0.80,12.47,160%,0,442,27943,0
24,24,18.86,0.74,12.40,158%,0,713,28904,0
48,48,20.89,0.98,17.49,125%,0,1424,36737,0
96,96,21.59,1.15,17.29,131%,0,1582,39289,0
192,192,29.74,1.60,22.49,139%,0,2565,53025,0
384,384,35.33,2.36,32.40,116%,0,7098,70852,0
