cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.67,0.36,16.29,43%,0,7534,8864,0,0,32,0,0,0
2,2,7.10,0.43,16.35,46%,0,7653,9246,0,0,32,0,0,0
4,4,7.02,0.44,16.19,46%,0,8068,9698,0,0,40,0,0,0
8,8,7.13,0.47,16.18,46%,0,8023,9922,0,0,48,0,0,0
16,16,7.95,0.52,16.39,51%,0,8540,10565,0,0,64,0,0,0
32,32,9.29,0.65,21.19,46%,0,9197,12167,0,0,112,0,0,0
64,64,11.54,0.90,21.37,58%,0,10495,15453,0,0,184,0,0,0
128,128,13.90,1.40,21.67,70%,0,12124,20908,0,0,336,0,0,0
256,256,18.93,2.42,31.49,67%,0,15910,32152,0,0,648,0,0,0
512,512,24.38,4.36,41.89,68%,0,22556,54995,0,0,1248,0,0,0
