cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,2.61,0.30,4.34,67%,0,100,641,0,0,0,0,0,1
2,2,2.45,0.22,2.83,94%,0,72,156,0,0,0,0,0,1
4,4,2.43,0.20,2.79,94%,0,72,155,0,0,0,0,0,1
8,8,2.41,0.23,2.80,94%,0,79,160,0,0,0,0,0,1
16,16,2.43,0.21,2.80,94%,0,73,158,0,0,0,0,0,1
32,32,2.45,0.23,2.88,93%,0,74,159,0,0,0,0,0,1
64,64,2.47,0.21,2.83,94%,0,74,157,0,0,0,0,0,1
128,128,2.45,0.21,2.82,94%,0,71,157,0,0,0,0,0,1
256,256,2.43,0.21,2.80,94%,0,78,156,0,0,0,0,0,1
512,512,2.42,0.24,2.85,93%,0,74,202,0,0,0,0,0,1
