cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,43.56,2.70,59.06,78%,0,24381,28765,0,0,0,0,0,1
2,2,42.79,2.63,55.91,81%,0,24247,28803,0,0,0,0,0,1
4,4,41.05,2.48,54.25,80%,0,24471,29177,0,0,0,0,0,1
8,8,41.82,2.67,54.51,81%,0,24560,29063,0,0,0,0,0,1
16,16,41.54,2.49,53.58,82%,0,24951,29542,0,0,0,0,0,1
32,32,41.62,2.53,54.70,80%,0,24603,28857,0,0,0,0,0,1
64,64,43.62,2.64,56.96,81%,0,25008,30088,0,0,0,0,0,1
128,128,43.14,2.64,56.27,81%,0,23781,28077,0,0,0,0,0,1
256,256,43.09,2.58,56.17,81%,0,25417,29309,0,0,0,0,0,1
512,512,41.98,2.62,55.14,80%,0,24292,28875,0,0,0,0,0,1
