cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.64,0.44,16.34,43%,0,8088,11163,0,0,32,0,0,0
2,2,6.92,0.48,16.40,45%,0,7936,9600,0,0,32,0,0,0
4,4,6.88,0.45,16.29,45%,0,8013,12134,0,0,40,0,0,0
8,8,7.09,0.48,21.05,36%,0,8057,10174,0,0,48,0,0,0
16,16,7.90,0.60,16.45,51%,0,9160,11734,0,0,64,0,0,0
32,32,9.38,0.73,21.43,47%,0,9581,13156,0,0,112,0,0,0
64,64,11.21,0.97,26.36,46%,0,11005,16738,0,0,184,0,0,0
128,128,13.80,1.56,26.21,58%,0,13859,25199,0,0,336,0,0,0
256,256,19.00,2.53,31.28,68%,0,18305,37128,0,0,632,0,0,0
512,512,25.04,4.56,51.34,57%,0,25568,64908,0,0,1256,0,0,0
