cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,14.79,2.68,49.55,35%,0,2721,11721,0,0,0,0,0,0
2,2,14.89,2.71,50.91,34%,0,2728,12208,0,0,0,0,0,0
4,4,14.91,2.76,55.69,31%,0,2811,12427,0,0,0,0,0,1
8,8,15.21,3.22,57.27,32%,0,2973,13058,0,0,0,0,0,1
16,16,18.03,3.75,56.58,38%,0,3880,38692,0,0,0,0,0,0
32,32,19.22,4.90,63.58,37%,0,4685,18464,0,0,0,0,0,0
64,64,21.49,7.02,77.45,36%,0,6194,27272,0,0,0,0,0,0
128,128,29.20,10.65,112.60,35%,0,9682,37942,0,0,0,0,0,1
256,256,41.19,21.05,196.11,31%,0,16632,80316,0,0,0,0,0,0
512,512,65.68,36.13,301.93,33%,0,28370,147733,0,0,0,0,0,0
