cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,10.64,1.92,39.49,31%,0,2038,10914,0,0,0,0,0,0
2,2,10.29,1.68,36.20,33%,0,2042,9792,0,0,0,0,0,0
4,4,11.03,2.19,39.94,33%,0,2329,11056,0,0,0,0,0,0
8,8,10.33,2.09,37.36,33%,0,2121,9929,0,0,0,0,0,1
16,16,12.26,2.59,47.45,31%,0,2702,12258,0,0,0,0,0,0
32,32,11.43,2.91,44.22,32%,0,2587,12284,0,0,0,0,0,0
64,64,13.59,3.62,50.93,33%,0,3631,14246,0,0,0,0,0,1
128,128,16.88,5.94,65.88,34%,0,5477,22851,0,0,0,0,0,0
256,256,23.67,10.09,125.71,26%,0,8051,43548,0,0,0,0,0,0
512,512,34.26,18.05,159.16,32%,0,16692,57044,0,0,0,0,0,1
