cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,41.30,2.65,55.20,79%,0,24378,28963,0,0,0,0,0,1
2,2,41.15,2.69,56.02,78%,0,24643,28815,0,0,0,0,0,1
4,4,42.81,2.67,56.65,80%,0,25148,29312,0,0,0,0,0,1
8,8,42.43,2.69,55.70,81%,0,25727,30661,0,0,0,0,0,1
16,16,41.62,2.70,55.73,79%,0,25049,29340,0,0,0,0,0,1
32,32,41.92,2.72,55.23,80%,0,26628,30007,0,0,0,0,0,1
64,64,41.36,2.68,55.79,78%,0,24428,29230,0,0,0,0,0,1
128,128,42.09,2.70,56.11,79%,0,25711,29971,0,0,0,0,0,1
256,256,41.81,2.64,55.47,80%,0,25237,29222,0,0,0,0,0,1
512,512,41.44,2.68,54.93,80%,0,24538,28201,0,0,0,0,0,1
