cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.87,2.00,44.57,49%,0,13902,22442,0,0,0,0,0,0
2,2,19.72,2.11,45.85,47%,0,14943,23449,0,0,0,0,0,0
4,4,20.77,2.08,46.98,48%,0,15161,24032,0,0,0,0,0,0
8,8,21.02,2.20,47.24,49%,0,15119,25521,0,0,0,0,0,0
16,16,22.03,2.21,57.66,42%,0,16138,30141,0,0,0,0,0,0
32,32,22.72,2.42,57.50,43%,0,15444,31990,0,0,0,0,0,0
64,64,26.93,2.80,95.88,31%,0,17532,50733,0,0,0,0,0,0
128,128,28.59,3.35,115.74,27%,0,19600,66992,0,0,0,0,0,0
256,256,32.97,4.12,114.78,32%,0,26258,94675,0,0,0,0,0,0
512,512,38.61,5.76,123.76,35%,0,32416,130650,0,0,0,0,0,0
