cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,40.96,2.42,78.57,55%,0,26436,37558,0,0,0,0,0,0
2,2,39.25,2.23,64.88,63%,0,27004,35604,0,0,0,0,0,0
4,4,39.65,2.33,70.17,59%,0,26154,37055,0,0,0,0,0,0
8,8,41.23,2.53,99.66,43%,0,26642,44827,0,0,0,0,0,0
16,16,41.64,2.56,109.63,40%,0,27034,48556,0,0,0,0,0,0
32,32,46.69,3.16,268.61,18%,0,30496,94533,0,0,0,0,0,0
64,64,52.42,3.70,383.90,14%,0,31746,127727,0,0,0,0,0,0
128,128,57.01,4.23,453.92,13%,0,35697,159026,0,0,0,0,0,0
256,256,64.54,5.58,629.59,11%,0,41430,227048,0,0,0,0,0,0
512,512,75.24,7.91,603.43,13%,0,54794,264764,0,0,0,0,0,0
