cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,10.35,1.68,35.15,34%,0,2123,10985,0,0,0,0,0,0
2,2,10.35,1.68,35.65,33%,0,2077,9484,0,0,0,0,0,0
4,4,10.50,1.77,40.82,30%,0,2083,10516,0,0,0,0,0,1
8,8,10.33,1.86,35.24,34%,0,2079,9411,0,0,0,0,0,1
16,16,11.91,2.32,46.72,30%,0,2623,12972,0,0,0,0,0,1
32,32,11.62,2.36,39.96,34%,0,2690,12312,0,0,0,0,0,0
64,64,11.89,3.17,47.92,31%,0,3127,14820,0,0,0,0,0,1
128,128,14.53,4.58,56.92,33%,0,4720,19535,0,0,0,0,0,0
256,256,19.21,7.30,85.96,30%,0,7437,38422,0,0,0,0,0,0
512,512,27.23,13.07,141.77,28%,0,14662,55514,0,0,0,0,0,1
