cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,43.63,2.63,84.65,54%,0,26528,39113,0,0,0,0,0,0
2,2,44.54,2.58,93.95,50%,0,26651,41256,0,0,0,0,0,0
4,4,43.25,2.49,86.90,52%,0,28710,41823,0,0,0,0,0,0
8,8,47.76,2.61,90.82,55%,0,29266,43678,0,0,0,0,0,0
16,16,50.39,3.29,222.69,24%,0,29373,80733,0,0,0,0,0,0
32,32,47.23,2.98,97.94,51%,0,30095,54421,0,0,0,0,0,0
64,64,66.86,5.24,567.58,12%,0,37272,182618,0,0,0,0,0,0
128,128,78.04,7.08,857.75,9%,0,46486,288235,0,0,0,0,0,0
256,256,81.33,8.56,816.99,11%,0,56528,330731,0,0,0,0,0,0
512,512,90.64,11.79,790.43,12%,0,72826,410289,0,0,0,0,0,0
