cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,1.99,0.36,5.33,44%,0,132,1615,0,0,0,0,0,1
2,2,1.58,0.20,1.94,92%,0,72,190,0,0,0,0,0,1
4,4,1.57,0.18,1.90,92%,0,73,155,0,0,0,0,0,1
8,8,1.57,0.21,1.93,91%,0,74,155,0,0,0,0,0,1
16,16,1.58,0.19,1.92,92%,0,72,157,0,0,0,0,0,1
32,32,1.53,0.21,1.90,92%,0,71,155,0,0,0,0,0,1
64,64,1.54,0.22,1.92,91%,0,72,155,0,0,0,0,0,1
128,128,1.57,0.19,1.93,91%,0,70,204,0,0,0,0,0,1
256,256,1.56,0.20,1.91,92%,0,74,155,0,0,0,0,0,1
512,512,1.56,0.18,1.90,91%,0,74,155,0,0,0,0,0,1
