cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,2.46,0.20,3.00,89%,0,75,254,0,0,0,0,0,1
2,2,2.55,0.22,2.93,94%,0,75,156,0,0,0,0,0,1
4,4,2.39,0.22,2.77,94%,0,76,155,0,0,0,0,0,1
8,8,2.44,0.20,2.83,93%,0,72,176,0,0,0,0,0,1
16,16,2.45,0.23,2.84,94%,0,75,156,0,0,0,0,0,1
32,32,2.42,0.21,2.79,94%,0,73,157,0,0,0,0,0,1
64,64,2.42,0.20,2.78,94%,0,73,179,0,0,0,0,0,1
128,128,2.42,0.22,2.79,94%,0,77,157,0,0,0,0,0,1
256,256,2.45,0.18,2.79,94%,0,76,155,0,0,0,0,0,1
512,512,2.44,0.21,2.80,94%,0,68,165,0,0,0,0,0,1
