cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,21.74,2.16,52.28,45%,0,15815,26165,0,0,0,0,0,0
2,2,21.92,2.17,52.88,45%,0,15620,26675,0,0,0,0,0,0
4,4,22.26,2.27,57.45,42%,0,15320,27733,0,0,0,0,0,0
8,8,22.84,2.20,47.83,52%,0,16020,27523,0,0,0,0,0,0
16,16,23.13,2.46,52.30,48%,0,16564,32668,0,0,0,0,0,0
32,32,25.88,2.65,52.54,54%,0,17066,37837,0,0,0,0,0,0
64,64,28.52,3.05,57.29,55%,0,19303,51395,0,0,0,0,0,0
128,128,40.46,4.78,518.13,8%,0,26262,192494,0,0,0,0,0,0
256,256,47.57,6.40,543.11,9%,0,30198,247227,0,0,0,0,0,0
512,512,59.46,9.75,523.18,13%,0,46630,331850,0,0,0,0,0,0
