cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.90,2.13,44.11,52%,0,15164,22743,0,0,0,0,0,0
2,2,21.44,2.15,42.39,55%,0,15840,23939,0,0,0,0,0,0
4,4,20.89,2.05,42.19,54%,0,14747,23160,0,0,0,0,0,0
8,8,20.81,2.22,43.61,52%,0,15377,24838,0,0,0,0,0,0
16,16,21.78,2.22,54.20,44%,0,15410,28289,0,0,0,0,0,0
32,32,23.72,2.43,52.69,49%,0,15953,31798,0,0,0,0,0,0
64,64,24.83,2.48,47.33,57%,0,17297,36175,0,0,0,0,0,0
128,128,30.20,3.26,182.61,18%,0,19305,79563,0,0,0,0,0,0
256,256,40.83,4.78,502.22,9%,0,26740,198504,0,0,0,0,0,0
512,512,46.60,6.37,463.08,11%,0,36281,230570,0,0,0,0,0,0
