cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.37,0.42,11.45,59%,0,7716,8997,0,0,24,0,0,0
2,2,6.97,0.44,16.07,46%,0,7846,9225,0,0,24,0,0,0
4,4,6.38,0.45,15.71,43%,0,7771,9383,0,0,24,0,0,0
8,8,6.66,0.43,11.12,63%,0,7875,9401,0,0,32,0,0,0
16,16,7.02,0.51,15.91,47%,0,8167,10273,0,0,40,0,0,0
32,32,7.75,0.53,15.57,53%,0,8638,10874,0,0,56,0,0,0
64,64,8.28,0.71,20.68,43%,0,9231,13449,0,0,104,0,0,0
128,128,10.71,1.02,165.80,7%,0,9906,20100,0,0,192,0,0,0
256,256,12.28,1.36,20.63,66%,0,12016,21002,0,0,344,0,0,0
512,512,15.15,2.34,26.06,67%,0,15104,32374,0,0,672,0,0,0
