cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,43.26,2.62,76.75,59%,0,26513,37432,0,0,0,0,0,0
2,2,41.42,2.53,72.71,60%,0,26484,36881,0,0,0,0,0,0
4,4,42.08,2.46,72.42,61%,0,27542,37620,0,0,0,0,0,0
8,8,45.43,2.59,80.16,59%,0,28342,40707,0,0,0,0,0,0
16,16,43.68,2.58,77.06,60%,0,27226,40129,0,0,0,0,0,0
32,32,49.19,3.17,197.19,26%,0,29011,74650,0,0,0,0,0,0
64,64,58.79,4.47,458.82,13%,0,33033,148224,0,0,0,0,0,0
128,128,62.17,5.03,499.38,13%,0,35889,172052,0,0,0,0,0,0
256,256,68.16,5.90,513.16,14%,0,43303,196835,0,0,0,0,0,0
512,512,70.29,7.05,475.12,16%,0,50465,223155,0,0,0,0,0,0
