cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.64,0.39,11.35,61%,0,7307,8532,0,0,24,0,0,0
2,2,6.87,0.44,15.78,46%,0,7640,8892,0,0,24,0,0,0
4,4,6.33,0.41,15.78,42%,0,7782,9132,0,0,24,0,0,0
8,8,6.89,0.43,11.18,65%,0,8401,10016,0,0,32,0,0,0
16,16,7.33,0.49,11.51,67%,0,8220,10086,0,0,40,0,0,0
32,32,8.02,0.58,16.01,53%,0,8857,11121,0,0,56,0,0,0
64,64,9.75,0.76,21.09,49%,0,9181,12597,0,0,104,0,0,0
128,128,10.84,1.05,21.13,56%,0,10232,15724,0,0,184,0,0,0
256,256,13.11,1.54,25.87,56%,0,11984,21170,0,0,352,0,0,0
512,512,15.54,2.45,26.31,68%,0,14969,31667,0,0,672,0,0,0
