cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.55,0.45,16.01,43%,0,7716,9208,0,0,32,0,0,0
2,2,6.56,0.47,16.04,43%,0,7926,9596,0,0,32,0,0,0
4,4,6.43,0.47,16.02,43%,0,8360,9765,0,0,40,0,0,0
8,8,7.28,0.50,16.26,47%,0,8235,10090,0,0,48,0,0,0
16,16,7.88,0.63,16.37,52%,0,8634,11036,0,0,64,0,0,0
32,32,9.00,0.78,21.16,46%,0,9219,12972,0,0,104,0,0,0
64,64,11.73,1.09,21.21,60%,0,10805,16439,0,0,176,0,0,0
128,128,13.51,1.56,21.18,71%,0,12066,21346,0,0,336,0,0,0
256,256,17.78,2.48,31.43,64%,0,15616,32811,0,0,640,0,0,0
512,512,23.15,4.35,41.25,66%,0,21610,55397,0,0,1248,0,0,0
