cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,7.57,0.68,12.85,64%,0,10674,13174,3,24,24,0,0,0
4,4,6.40,0.55,15.90,43%,0,7860,9597,0,0,24,0,0,0
8,8,6.35,0.56,11.46,60%,0,7849,9253,0,0,32,0,0,0
16,16,6.95,0.64,15.88,47%,0,8258,10086,0,0,40,0,0,0
32,32,8.90,0.70,16.27,59%,0,9003,11207,0,0,56,0,0,0
64,64,9.75,0.82,16.74,63%,0,9270,12867,0,0,96,0,0,0
128,128,11.59,1.03,13.82,91%,0,10503,15551,0,0,176,0,0,0
256,256,14.58,1.56,21.95,73%,0,12700,21136,0,0,344,0,0,0
512,512,18.01,2.50,32.20,63%,0,15410,32081,0,0,672,0,0,0
1024,1024,22.66,4.11,43.23,61%,0,21490,55451,0,0,1320,0,0,0
