cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,15.01,2.77,48.75,36%,0,2722,12126,0,0,0,0,0,0
2,2,15.18,2.76,51.05,35%,0,2815,12667,0,0,0,0,0,0
4,4,15.00,3.04,52.86,34%,0,2781,12744,0,0,0,0,0,0
8,8,15.47,3.15,52.29,35%,0,2964,13242,0,0,0,0,0,0
16,16,17.83,3.75,55.83,38%,0,3737,14905,0,0,0,0,0,0
32,32,20.09,5.63,77.67,33%,0,5005,19630,0,0,0,0,0,1
64,64,19.79,7.01,87.59,30%,0,5587,29909,0,0,0,0,0,1
128,128,28.81,11.57,120.49,33%,0,9632,44746,0,0,0,0,0,0
256,256,38.07,18.76,189.35,30%,0,14295,74904,0,0,0,0,0,0
512,512,62.77,41.38,344.70,30%,0,26587,145499,0,0,0,0,0,0
