cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,44.43,2.58,77.91,60%,0,25925,36189,0,0,0,0,0,0
2,2,42.27,2.49,72.89,61%,0,27113,36842,0,0,0,0,0,0
4,4,41.86,2.44,81.67,54%,0,26685,39689,0,0,0,0,0,0
8,8,42.39,2.47,67.09,66%,0,27421,36318,0,0,0,0,0,0
16,16,43.35,2.58,82.02,56%,0,27511,41842,0,0,0,0,0,0
32,32,51.75,3.33,229.01,24%,0,30033,81644,0,0,0,0,0,0
64,64,56.95,3.92,339.26,17%,0,31467,114302,0,0,0,0,0,0
128,128,63.36,4.87,483.79,14%,0,36749,166407,0,0,0,0,0,0
256,256,65.94,5.88,520.14,13%,0,41324,192699,0,0,0,0,0,0
512,512,70.78,7.24,408.29,19%,0,51363,209935,0,0,0,0,0,0
