cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.12,2.17,50.09,44%,0,14536,24903,0,0,0,0,0,0
2,2,20.90,2.15,47.35,48%,0,15323,24120,0,0,0,0,0,0
4,4,20.70,2.28,46.18,49%,0,14931,23859,0,0,0,0,0,0
8,8,20.81,2.11,50.81,45%,0,16176,28588,0,0,0,0,0,0
16,16,21.96,2.28,45.62,53%,0,16012,27075,0,0,0,0,0,0
32,32,24.32,2.64,73.72,36%,0,15829,36965,0,0,0,0,0,0
64,64,26.32,2.94,83.90,34%,0,16135,45200,0,0,0,0,0,0
128,128,29.75,3.55,107.84,30%,0,19575,65392,0,0,0,0,0,0
256,256,33.54,4.43,127.24,29%,0,25106,92549,0,0,0,0,0,0
512,512,39.26,6.18,118.57,38%,0,32337,131799,0,0,0,0,0,0
