cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,2.07,0.41,6.85,36%,0,88,1673,0,0,0,0,0,1
2,2,1.56,0.20,1.91,92%,0,74,155,0,0,0,0,0,1
4,4,1.56,0.20,1.94,90%,0,68,155,0,0,0,0,0,1
8,8,1.55,0.21,1.91,92%,0,72,158,0,0,0,0,0,1
16,16,1.54,0.20,1.90,92%,0,75,155,0,0,0,0,0,1
32,32,1.56,0.18,1.90,92%,0,70,157,0,0,0,0,0,1
64,64,1.55,0.18,1.90,91%,0,73,155,0,0,0,0,0,1
128,128,1.54,0.22,1.90,92%,0,73,155,0,0,0,0,0,1
256,256,1.58,0.18,1.91,92%,0,72,155,0,0,0,0,0,1
512,512,1.55,0.20,1.90,92%,0,71,155,0,0,0,0,0,1
