cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,10.65,2.09,38.88,32%,0,2169,11915,0,0,0,0,0,0
2,2,11.07,2.18,40.40,32%,0,2341,11228,0,0,0,0,0,0
4,4,10.47,1.97,35.67,34%,0,2063,9840,0,0,0,0,0,1
8,8,11.78,2.16,41.31,33%,0,2441,11016,0,0,0,0,0,0
16,16,10.76,2.41,38.82,33%,0,2255,10887,0,0,0,0,0,0
32,32,13.83,3.46,51.41,33%,0,3388,13709,0,0,0,0,0,0
64,64,12.60,3.92,55.70,29%,0,3328,15640,0,0,0,0,0,1
128,128,18.66,6.61,80.16,31%,0,5838,27612,0,0,0,0,0,0
256,256,21.03,9.82,100.99,30%,0,7777,37127,0,0,0,0,0,1
512,512,28.72,18.31,162.90,28%,0,12876,64952,0,0,0,0,0,0
