cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.88,2.67,53.99,43%,0,14159,25738,0,0,0,0,0,0
2,2,21.26,3.18,66.70,36%,0,17371,112624,0,0,0,0,0,0
4,4,20.73,2.72,53.59,43%,0,14900,28081,0,0,0,0,0,0
8,8,22.10,2.74,59.34,41%,0,14496,29693,0,0,0,0,0,0
16,16,23.89,2.95,94.50,28%,0,15589,42535,0,0,0,0,0,0
32,32,26.26,3.21,114.30,25%,0,16529,53574,0,0,0,0,0,0
64,64,31.47,4.07,200.70,17%,0,19453,91550,0,0,0,0,0,0
128,128,38.07,5.58,463.54,9%,0,27153,225371,0,0,0,0,0,0
256,256,43.17,6.57,338.85,14%,0,31490,206330,0,0,0,0,0,0
512,512,52.28,9.39,358.30,17%,0,44430,313034,0,0,0,0,0,0
