cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,47.63,2.86,88.59,57%,0,27190,39860,0,0,0,0,0,0
2,2,47.82,2.74,88.83,56%,0,27121,39870,0,0,0,0,0,0
4,4,48.37,2.82,98.49,51%,0,26915,42942,0,0,0,0,0,0
8,8,51.62,2.94,101.19,53%,0,27367,44637,0,0,0,0,0,0
16,16,49.56,2.94,88.64,59%,0,28551,45384,0,0,0,0,0,0
32,32,52.68,3.25,94.76,59%,0,29347,52559,0,0,0,0,0,0
64,64,55.09,3.67,93.27,63%,0,32456,65311,0,0,0,0,0,0
128,128,63.88,4.81,225.03,30%,0,38971,123257,0,0,0,0,0,0
256,256,80.15,8.05,967.94,9%,0,56146,380897,0,0,0,0,0,0
512,512,96.13,11.80,1039.89,10%,0,76453,492919,0,0,0,0,0,0
