cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,49.05,2.69,82.82,62%,0,26853,36784,0,0,0,0,0,0
2,2,48.02,2.85,84.83,59%,0,26672,37879,0,0,0,0,0,0
4,4,50.03,2.76,91.01,58%,0,27396,39717,0,0,0,0,0,0
8,8,50.72,2.84,86.45,61%,0,27103,39509,0,0,0,0,0,0
16,16,48.90,2.94,85.93,60%,0,27622,41223,0,0,0,0,0,0
32,32,52.65,3.00,86.15,64%,0,29100,44120,0,0,0,0,0,0
64,64,51.59,3.29,89.00,61%,0,29559,50845,0,0,0,0,0,0
128,128,55.98,3.78,108.48,55%,0,32921,68286,0,0,0,0,0,0
256,256,66.75,5.45,545.92,13%,0,42618,210641,0,0,0,0,0,0
512,512,74.13,7.22,584.62,13%,0,51265,263226,0,0,0,0,0,0
