cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.16,2.08,40.47,52%,0,15636,23093,0,0,0,0,0,0
2,2,19.45,2.04,40.41,53%,0,15958,23539,0,0,0,0,0,0
4,4,19.88,1.89,40.35,53%,0,15052,23558,0,0,0,0,0,0
8,8,20.10,2.04,40.35,54%,0,16033,25464,0,0,0,0,0,0
16,16,20.15,2.12,40.18,55%,0,16281,27077,0,0,0,0,0,0
32,32,22.16,2.33,65.44,37%,0,16325,36156,0,0,0,0,0,0
64,64,24.15,2.55,60.25,44%,0,17255,40249,0,0,0,0,0,0
128,128,28.79,3.29,95.11,33%,0,20709,64349,0,0,0,0,0,0
256,256,31.42,3.97,80.38,44%,0,25635,81272,0,0,0,0,0,0
512,512,36.45,5.69,96.67,43%,0,31680,131155,0,0,0,0,0,0
