cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.43,1.99,50.25,42%,0,16195,26572,0,0,0,0,0,0
2,2,19.83,2.11,50.38,43%,0,15632,26377,0,0,0,0,0,0
4,4,20.24,2.13,45.30,49%,0,15959,26340,0,0,0,0,0,0
8,8,21.36,2.29,55.35,42%,0,16399,30510,0,0,0,0,0,0
16,16,22.21,2.33,55.27,44%,0,16727,33400,0,0,0,0,0,0
32,32,23.33,2.53,55.25,46%,0,17234,40390,0,0,0,0,0,0
64,64,28.33,3.32,85.23,37%,0,19368,61636,0,0,0,0,0,0
128,128,33.80,4.38,125.18,30%,0,23059,96001,0,0,0,0,0,0
256,256,37.95,5.74,115.17,37%,0,29488,131652,0,0,0,0,0,0
512,512,49.09,9.22,115.74,50%,0,42081,205367,0,0,0,0,0,0
