cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,38.99,2.44,48.75,85%,0,25387,29116,0,0,0,0,0,1
2,2,40.41,2.46,49.85,86%,0,25816,30095,0,0,0,0,0,1
4,4,38.81,2.49,48.67,84%,0,25314,29181,0,0,0,0,0,1
8,8,38.68,2.49,48.37,85%,0,26167,29370,0,0,0,0,0,1
16,16,39.97,2.47,49.66,85%,0,25799,28901,0,0,0,0,0,1
32,32,38.56,2.52,48.51,84%,0,24948,29009,0,0,0,0,0,1
64,64,40.67,2.57,50.29,85%,0,26549,30596,0,0,0,0,0,1
128,128,39.80,2.58,49.94,84%,0,26547,30195,0,0,0,0,0,1
256,256,38.99,2.45,49.07,84%,0,25673,30464,0,0,0,0,0,1
512,512,40.92,2.52,50.49,86%,0,26069,30003,0,0,0,0,0,1
