cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,40.32,2.60,52.64,81%,0,25653,29795,0,0,0,0,0,1
2,2,39.26,2.50,49.12,85%,0,26747,30651,0,0,0,0,0,1
4,4,39.43,2.48,49.32,84%,0,24732,28956,0,0,0,0,0,1
8,8,38.03,2.45,47.93,84%,0,25895,30137,0,0,0,0,0,1
16,16,38.98,2.49,48.66,85%,0,26017,29716,0,0,0,0,0,1
32,32,39.43,2.45,48.69,86%,0,25788,29264,0,0,0,0,0,1
64,64,39.47,2.40,49.09,85%,0,25815,29265,0,0,0,0,0,1
128,128,39.04,2.43,48.77,85%,0,25798,29398,0,0,0,0,0,1
256,256,40.90,2.54,50.73,85%,0,25679,29933,0,0,0,0,0,1
512,512,39.10,2.46,49.09,84%,0,25351,28969,0,0,0,0,0,1
