cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,12.21,2.03,39.72,35%,0,2170,10630,0,0,0,0,0,0
2,2,13.27,2.28,42.44,36%,0,2302,9900,0,0,0,0,0,1
4,4,14.63,2.47,38.11,44%,0,2699,9652,0,0,0,0,0,0
8,8,13.82,2.57,38.80,42%,0,2467,10614,0,0,0,0,0,0
16,16,15.46,3.23,53.73,34%,0,3050,12454,0,0,0,0,0,0
32,32,13.94,2.96,42.63,39%,0,3050,11398,0,0,0,0,0,1
64,64,15.98,3.80,54.69,36%,0,3834,15151,0,0,0,0,0,1
128,128,19.43,5.51,75.28,33%,0,5667,23396,0,0,0,0,0,0
256,256,23.73,9.37,105.04,31%,0,8400,33942,0,0,0,0,0,0
512,512,32.52,16.20,150.99,32%,0,13139,58246,0,0,0,0,0,0
