cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.03,0.37,10.82,59%,0,7584,8904,0,0,24,0,0,0
2,2,6.28,0.44,15.62,43%,0,7563,8801,0,0,24,0,0,0
4,4,6.01,0.38,15.49,41%,0,7900,9151,0,0,24,0,0,0
8,8,6.13,0.37,10.79,60%,0,8133,9418,0,0,32,0,0,0
16,16,6.22,0.41,10.58,62%,0,7867,9569,0,0,40,0,0,0
32,32,6.92,0.48,15.26,48%,0,8678,11203,0,0,64,0,0,0
64,64,7.70,0.58,20.21,41%,0,8709,12548,0,0,104,0,0,0
128,128,9.78,0.79,20.10,52%,0,10342,15517,0,0,184,0,0,0
256,256,11.87,1.20,25.23,51%,0,11625,21022,0,0,352,0,0,0
512,512,13.84,1.97,25.52,61%,0,14980,32242,0,0,672,0,0,0
