cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,62.02,3.44,124.65,52%,0,28398,45425,0,0,0,0,0,0
2,2,64.77,3.55,137.60,49%,0,28735,48301,0,0,0,0,0,0
4,4,64.91,3.62,170.82,40%,0,28804,57209,0,0,0,0,0,0
8,8,61.56,3.65,230.86,28%,0,28334,72728,0,0,0,0,0,0
16,16,74.44,4.15,382.66,20%,0,30800,111801,0,0,0,0,0,0
32,32,76.91,4.66,508.64,16%,0,32161,149679,0,0,0,0,0,0
64,64,79.69,5.20,507.83,16%,0,35459,160068,0,0,0,0,0,0
128,128,84.74,6.34,547.07,16%,0,41132,195964,0,0,0,0,0,0
256,256,99.10,8.62,571.41,18%,0,52914,255060,0,0,0,0,0,0
512,512,109.91,12.77,561.32,21%,0,75385,328141,0,0,0,0,0,0
