cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,7.58,0.61,12.73,64%,0,11101,13520,0,0,24,0,0,0
2,2,6.83,0.46,15.72,46%,0,7999,9241,0,0,24,0,0,0
4,4,6.07,0.47,11.00,59%,0,7896,9083,0,0,24,0,0,0
8,8,6.44,0.46,15.93,43%,0,7769,9145,0,0,32,0,0,0
16,16,6.99,0.55,16.23,46%,0,8434,10246,0,0,40,0,0,0
32,32,7.63,0.62,15.90,51%,0,8851,11114,0,0,56,0,0,0
64,64,8.34,0.78,20.69,44%,0,9115,12565,0,0,104,0,0,0
128,128,10.41,0.97,15.93,71%,0,10257,15418,0,0,184,0,0,0
256,256,12.97,1.51,25.89,55%,0,12444,21183,0,0,352,0,0,0
512,512,15.62,2.27,25.99,68%,0,16358,33114,0,0,672,0,0,0
