cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.89,2.68,50.15,45%,0,16199,45537,0,0,0,0,0,0
2,2,20.57,2.92,60.86,38%,0,15791,51289,0,0,0,0,0,0
4,4,20.93,2.62,49.53,47%,0,14351,25187,0,0,0,0,0,0
8,8,21.03,2.74,54.86,43%,0,15508,39409,0,0,0,0,0,0
16,16,21.78,2.73,59.40,41%,0,15235,31812,0,0,0,0,0,0
32,32,22.99,3.45,55.73,47%,0,19605,145544,0,0,0,0,0,0
64,64,28.06,3.52,199.61,15%,0,18154,75677,0,0,0,0,0,0
128,128,32.47,4.29,393.66,9%,0,20959,140117,0,0,0,0,0,0
256,256,36.62,4.81,387.92,10%,0,28157,169468,0,0,0,0,0,0
512,512,41.57,6.54,382.61,12%,0,37617,221532,0,0,0,0,0,0
