cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.41,0.45,15.99,42%,0,8120,9649,0,0,32,0,0,0
2,2,6.31,0.46,16.02,42%,0,8316,9737,0,0,32,0,0,0
4,4,6.45,0.48,16.10,43%,0,8319,9957,0,0,40,0,0,0
8,8,7.52,0.53,20.83,38%,0,8614,10590,0,0,48,0,0,0
16,16,8.27,0.64,21.03,42%,0,8153,10665,0,0,64,0,0,0
32,32,8.86,0.76,20.83,46%,0,9244,12546,0,0,104,0,0,0
64,64,10.27,0.96,16.63,67%,0,10741,15695,0,0,176,0,0,0
128,128,13.03,1.44,26.02,55%,0,11800,21346,0,0,336,0,0,0
256,256,16.72,2.36,26.22,72%,0,16243,33315,0,0,640,0,0,0
512,512,22.17,3.93,41.48,62%,0,22490,56337,0,0,1256,0,0,0
