cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.06,0.45,11.03,59%,0,8122,9342,0,0,24,0,0,0
2,2,6.10,0.48,15.84,41%,0,7849,9277,0,0,24,0,0,0
4,4,6.24,0.49,11.23,59%,0,8162,9306,0,0,24,0,0,0
8,8,6.53,0.47,11.23,62%,0,8287,9833,0,0,32,0,0,0
16,16,7.67,0.51,15.95,51%,0,7993,9549,0,0,40,0,0,0
32,32,7.60,0.60,15.91,51%,0,8562,10912,0,0,56,0,0,0
64,64,8.29,0.75,15.79,57%,0,8744,12140,0,0,96,0,0,0
128,128,10.51,0.93,20.82,54%,0,10046,15655,0,0,184,0,0,0
256,256,12.03,1.39,17.08,78%,0,12622,21656,0,0,344,0,0,0
512,512,16.49,2.33,30.90,60%,0,15965,32714,0,0,672,0,0,0
