cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.72,0.45,11.77,61%,0,7686,9192,0,0,24,0,0,0
2,2,6.79,0.47,16.08,45%,0,8035,9744,0,0,24,0,0,0
4,4,6.43,0.45,15.84,43%,0,8157,9549,0,0,24,0,0,0
8,8,6.27,0.48,11.07,61%,0,8215,9768,0,0,32,0,0,0
16,16,7.41,0.54,16.13,49%,0,8014,9922,0,0,40,0,0,0
32,32,8.38,0.64,18.52,48%,0,8409,10941,0,0,56,0,0,0
64,64,8.51,0.76,15.88,58%,0,9395,12862,0,0,96,0,0,0
128,128,10.23,1.01,15.93,70%,0,10301,15918,0,0,184,0,0,0
256,256,13.63,1.56,26.45,57%,0,12183,21290,0,0,344,0,0,0
512,512,17.92,2.99,1076.92,1%,0,16828,69340,0,0,680,0,0,1
