cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,12.14,2.73,80.00,18%,0,2938,21539,0,0,0,0,0,0
2,2,12.33,2.82,80.90,18%,0,2698,25842,0,0,0,0,0,0
4,4,11.99,2.67,76.47,19%,0,3463,25446,0,0,0,0,0,0
8,8,12.34,2.79,78.93,19%,0,2861,23475,0,0,0,0,0,0
16,16,13.78,3.17,83.28,20%,0,5211,30001,0,0,0,0,0,0
32,32,14.07,3.42,88.55,19%,0,3412,24714,0,0,0,0,0,0
64,64,14.73,4.36,104.46,18%,0,4051,30628,0,0,0,0,0,1
128,128,19.66,7.08,130.02,20%,0,6749,60210,0,0,0,0,0,0
256,256,23.78,10.99,173.00,20%,0,11295,91126,0,0,0,0,0,0
512,512,30.03,17.40,238.92,19%,0,18419,169324,0,0,0,0,0,0
