cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,41.48,2.69,55.24,79%,0,25095,29581,0,0,0,0,0,1
2,2,40.95,2.57,52.59,82%,0,24540,28307,0,0,0,0,0,1
4,4,40.72,2.50,52.49,82%,0,24722,29047,0,0,0,0,0,1
8,8,39.85,2.49,50.50,83%,0,24627,28108,0,0,0,0,0,1
16,16,38.48,2.56,48.17,85%,0,25717,30143,0,0,0,0,0,1
32,32,38.46,2.39,47.92,85%,0,26731,30441,0,0,0,0,0,1
64,64,39.70,2.49,49.51,85%,0,25103,29574,0,0,0,0,0,1
128,128,39.03,2.56,48.73,85%,0,26077,30088,0,0,0,0,0,1
256,256,39.21,2.37,48.54,85%,0,25619,29453,0,0,0,0,0,1
512,512,39.70,2.43,49.22,85%,0,25546,29988,0,0,0,0,0,1
